PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div6,b,1959,0,0.03340,0.03246,0.14,100000,3246,97210,6892313,68.92
Div6,b,1959,1,0.00230,0.00230,0.5,96754,222,96643,6795103,70.23
Div6,b,1959,2,0.00123,0.00123,0.5,96532,119,96472,6698461,69.39
Div6,b,1959,3,0.00090,0.00090,0.5,96413,87,96369,6601989,68.48
Div6,b,1959,4,0.00080,0.00080,0.5,96326,77,96288,6505619,67.54
Div6,b,1959,5,0.00070,0.00070,0.5,96249,67,96216,6409332,66.59
Div6,b,1959,6,0.00053,0.00053,0.5,96182,51,96156,6313116,65.64
Div6,b,1959,7,0.00049,0.00049,0.5,96131,47,96107,6216960,64.67
Div6,b,1959,8,0.00048,0.00048,0.5,96083,46,96060,6120853,63.70
Div6,b,1959,9,0.00049,0.00049,0.5,96037,47,96013,6024793,62.73
Div6,b,1959,10,0.00040,0.00040,0.5,95990,38,95971,5928779,61.76
Div6,b,1959,11,0.00048,0.00048,0.5,95951,46,95928,5832808,60.79
Div6,b,1959,12,0.00051,0.00051,0.5,95905,49,95881,5736880,59.82
Div6,b,1959,13,0.00051,0.00051,0.5,95856,49,95832,5641000,58.85
Div6,b,1959,14,0.00068,0.00068,0.5,95807,65,95774,5545168,57.88
Div6,b,1959,15,0.00086,0.00086,0.5,95742,83,95701,5449393,56.92
Div6,b,1959,16,0.00111,0.00111,0.5,95659,106,95606,5353693,55.97
Div6,b,1959,17,0.00126,0.00126,0.5,95553,120,95493,5258087,55.03
Div6,b,1959,18,0.00124,0.00124,0.5,95433,118,95374,5162593,54.10
Div6,b,1959,19,0.00149,0.00149,0.5,95315,142,95244,5067220,53.16
Div6,b,1959,20,0.00156,0.00156,0.5,95173,149,95098,4971976,52.24
Div6,b,1959,21,0.00173,0.00173,0.5,95024,164,94942,4876878,51.32
Div6,b,1959,22,0.00168,0.00168,0.5,94860,159,94780,4781936,50.41
Div6,b,1959,23,0.00175,0.00174,0.5,94700,165,94618,4687156,49.49
Div6,b,1959,24,0.00156,0.00156,0.5,94535,147,94461,4592538,48.58
Div6,b,1959,25,0.00155,0.00155,0.5,94388,147,94315,4498077,47.66
Div6,b,1959,26,0.00166,0.00165,0.5,94241,156,94163,4403762,46.73
Div6,b,1959,27,0.00174,0.00174,0.5,94085,163,94004,4309599,45.81
Div6,b,1959,28,0.00188,0.00188,0.5,93922,177,93834,4215595,44.88
Div6,b,1959,29,0.00174,0.00173,0.5,93745,163,93664,4121762,43.97
Div6,b,1959,30,0.00181,0.00181,0.5,93583,169,93498,4028098,43.04
Div6,b,1959,31,0.00183,0.00183,0.5,93413,171,93328,3934600,42.12
Div6,b,1959,32,0.00207,0.00207,0.5,93243,193,93146,3841272,41.20
Div6,b,1959,33,0.00240,0.00239,0.5,93050,223,92938,3748125,40.28
Div6,b,1959,34,0.00235,0.00235,0.5,92827,218,92718,3655187,39.38
Div6,b,1959,35,0.00246,0.00246,0.5,92609,227,92495,3562469,38.47
Div6,b,1959,36,0.00266,0.00266,0.5,92382,246,92259,3469973,37.56
Div6,b,1959,37,0.00282,0.00281,0.5,92136,259,92006,3377715,36.66
Div6,b,1959,38,0.00331,0.00331,0.5,91877,304,91725,3285708,35.76
Div6,b,1959,39,0.00371,0.00370,0.5,91573,339,91403,3193984,34.88
Div6,b,1959,40,0.00373,0.00372,0.5,91234,339,91064,3102580,34.01
Div6,b,1959,41,0.00348,0.00347,0.5,90895,316,90737,3011516,33.13
Div6,b,1959,42,0.00456,0.00455,0.5,90579,412,90373,2920779,32.25
Div6,b,1959,43,0.00453,0.00452,0.5,90167,407,89963,2830406,31.39
Div6,b,1959,44,0.00471,0.00470,0.5,89759,422,89548,2740443,30.53
Div6,b,1959,45,0.00550,0.00549,0.5,89337,490,89092,2650895,29.67
Div6,b,1959,46,0.00579,0.00577,0.5,88847,513,88591,2561803,28.83
Div6,b,1959,47,0.00610,0.00608,0.5,88334,537,88066,2473212,28.00
Div6,b,1959,48,0.00701,0.00699,0.5,87797,614,87490,2385146,27.17
Div6,b,1959,49,0.00740,0.00737,0.5,87184,643,86862,2297656,26.35
Div6,b,1959,50,0.00806,0.00803,0.5,86541,695,86193,2210794,25.55
Div6,b,1959,51,0.00844,0.00840,0.5,85846,722,85485,2124600,24.75
Div6,b,1959,52,0.01038,0.01033,0.5,85125,879,84685,2039115,23.95
Div6,b,1959,53,0.01029,0.01023,0.5,84245,862,83814,1954430,23.20
Div6,b,1959,54,0.01128,0.01122,0.5,83383,935,82916,1870616,22.43
Div6,b,1959,55,0.01160,0.01153,0.5,82448,951,81973,1787700,21.68
Div6,b,1959,56,0.01282,0.01274,0.5,81497,1038,80978,1705727,20.93
Div6,b,1959,57,0.01331,0.01322,0.5,80459,1064,79927,1624749,20.19
Div6,b,1959,58,0.01655,0.01641,0.5,79396,1303,78744,1544822,19.46
Div6,b,1959,59,0.01804,0.01788,0.5,78092,1396,77394,1466078,18.77
Div6,b,1959,60,0.01763,0.01747,0.5,76696,1340,76026,1388684,18.11
Div6,b,1959,61,0.01775,0.01759,0.5,75356,1326,74693,1312657,17.42
Div6,b,1959,62,0.02119,0.02097,0.5,74031,1552,73255,1237964,16.72
Div6,b,1959,63,0.02218,0.02193,0.5,72479,1590,71684,1164709,16.07
Div6,b,1959,64,0.02213,0.02189,0.5,70889,1552,70113,1093026,15.42
Div6,b,1959,65,0.02767,0.02729,0.5,69337,1892,68391,1022913,14.75
Div6,b,1959,66,0.02687,0.02651,0.5,67445,1788,66551,954522,14.15
Div6,b,1959,67,0.03140,0.03092,0.5,65657,2030,64642,887971,13.52
Div6,b,1959,68,0.03278,0.03225,0.5,63627,2052,62601,823329,12.94
Div6,b,1959,69,0.03596,0.03532,0.5,61575,2175,60487,760729,12.35
Div6,b,1959,70,0.04128,0.04044,0.5,59400,2402,58199,700241,11.79
Div6,b,1959,71,0.03876,0.03802,0.5,56998,2167,55914,642043,11.26
Div6,b,1959,72,0.04565,0.04463,0.5,54830,2447,53607,586129,10.69
Div6,b,1959,73,0.04846,0.04731,0.5,52383,2479,51144,532522,10.17
Div6,b,1959,74,0.05295,0.05159,0.5,49905,2574,48618,481378,9.65
Div6,b,1959,75,0.05866,0.05699,0.5,47330,2697,45982,432760,9.14
Div6,b,1959,76,0.06456,0.06254,0.5,44633,2791,43237,386779,8.67
Div6,b,1959,77,0.06389,0.06192,0.5,41842,2591,40546,343541,8.21
Div6,b,1959,78,0.07587,0.07309,0.5,39251,2869,37817,302995,7.72
Div6,b,1959,79,0.08637,0.08279,0.5,36382,3012,34876,265178,7.29
Div6,b,1959,80,0.09520,0.09087,0.5,33370,3032,31854,230302,6.90
Div6,b,1959,81,0.09411,0.08988,0.5,30338,2727,28974,198448,6.54
Div6,b,1959,82,0.11432,0.10813,0.5,27611,2986,26118,169474,6.14
Div6,b,1959,83,0.11951,0.11277,0.5,24625,2777,23237,143356,5.82
Div6,b,1959,84,0.13697,0.12819,0.5,21848,2801,20448,120119,5.50
Div6,b,1959,85,0.13828,0.12934,0.5,19047,2464,17816,99671,5.23
Div6,b,1959,86,0.16052,0.14860,0.5,16584,2464,15352,81856,4.94
Div6,b,1959,87,0.17574,0.16155,0.5,14120,2281,12979,66504,4.71
Div6,b,1959,88,0.17525,0.16113,0.5,11839,1908,10885,53525,4.52
Div6,b,1959,89,0.19751,0.17975,0.5,9931,1785,9038,42640,4.29
Div6,b,1959,90,0.22858,0.20513,0.5,8146,1671,7310,33602,4.12
Div6,b,1959,91,0.18555,0.16980,0.5,6475,1099,5925,26291,4.06
Div6,b,1959,92,0.21572,0.19472,0.5,5375,1047,4852,20366,3.79
Div6,b,1959,93,0.23515,0.21041,0.5,4329,911,3873,15514,3.58
Div6,b,1959,94,0.25858,0.22898,0.5,3418,783,3027,11641,3.41
Div6,b,1959,95,0.26523,0.23418,0.5,2635,617,2327,8614,3.27
Div6,b,1959,96,0.28122,0.24655,0.5,2018,498,1769,6287,3.12
Div6,b,1959,97,0.29778,0.25919,0.5,1521,394,1324,4518,2.97
Div6,b,1959,98,0.31490,0.27207,0.5,1126,306,973,3194,2.84
Div6,b,1959,99,0.33255,0.28514,0.5,820,234,703,2221,2.71
Div6,b,1959,100,0.35069,0.29838,0.5,586,175,499,1518,2.59
Div6,b,1959,101,0.36929,0.31173,0.5,411,128,347,1019,2.48
Div6,b,1959,102,0.38829,0.32516,0.5,283,92,237,672,2.37
Div6,b,1959,103,0.40765,0.33863,0.5,191,65,159,435,2.28
Div6,b,1959,104,0.42731,0.35209,0.5,126,44,104,276,2.19
Div6,b,1959,105,0.44722,0.36549,0.5,82,30,67,172,2.10
Div6,b,1959,106,0.46731,0.37880,0.5,52,20,42,105,2.03
Div6,b,1959,107,0.48751,0.39197,0.5,32,13,26,63,1.96
Div6,b,1959,108,0.50777,0.40496,0.5,20,8,16,37,1.90
Div6,b,1959,109,0.52801,0.41773,0.5,12,5,9,22,1.85
Div6,b,1959,110+,0.54818,1.00000,1.82,7,7,12,12,1.82
Div6,b,1960,0,0.03330,0.03237,0.14,100000,3237,97218,6868929,68.69
Div6,b,1960,1,0.00231,0.00231,0.5,96763,224,96651,6771711,69.98
Div6,b,1960,2,0.00140,0.00140,0.5,96539,135,96471,6675060,69.14
Div6,b,1960,3,0.00091,0.00091,0.5,96404,88,96360,6578589,68.24
Div6,b,1960,4,0.00083,0.00083,0.5,96316,80,96276,6482229,67.30
Div6,b,1960,5,0.00076,0.00076,0.5,96237,73,96200,6385952,66.36
Div6,b,1960,6,0.00061,0.00061,0.5,96164,58,96134,6289752,65.41
Div6,b,1960,7,0.00055,0.00055,0.5,96105,53,96079,6193618,64.45
Div6,b,1960,8,0.00047,0.00047,0.5,96052,46,96030,6097539,63.48
Div6,b,1960,9,0.00051,0.00051,0.5,96007,49,95982,6001509,62.51
Div6,b,1960,10,0.00043,0.00043,0.5,95958,42,95937,5905527,61.54
Div6,b,1960,11,0.00052,0.00052,0.5,95916,50,95891,5809590,60.57
Div6,b,1960,12,0.00046,0.00046,0.5,95867,45,95844,5713698,59.60
Div6,b,1960,13,0.00056,0.00056,0.5,95822,53,95795,5617854,58.63
Div6,b,1960,14,0.00065,0.00065,0.5,95769,63,95737,5522058,57.66
Div6,b,1960,15,0.00070,0.00070,0.5,95706,67,95673,5426321,56.70
Div6,b,1960,16,0.00096,0.00096,0.5,95639,92,95593,5330648,55.74
Div6,b,1960,17,0.00118,0.00118,0.5,95547,113,95491,5235055,54.79
Div6,b,1960,18,0.00128,0.00128,0.5,95434,122,95373,5139564,53.85
Div6,b,1960,19,0.00146,0.00146,0.5,95312,139,95243,5044191,52.92
Div6,b,1960,20,0.00144,0.00144,0.5,95173,137,95104,4948948,52.00
Div6,b,1960,21,0.00156,0.00156,0.5,95036,148,94962,4853844,51.07
Div6,b,1960,22,0.00160,0.00160,0.5,94888,152,94812,4758882,50.15
Div6,b,1960,23,0.00139,0.00139,0.5,94736,131,94670,4664070,49.23
Div6,b,1960,24,0.00163,0.00163,0.5,94604,154,94527,4569400,48.30
Div6,b,1960,25,0.00171,0.00171,0.5,94451,162,94370,4474873,47.38
Div6,b,1960,26,0.00164,0.00164,0.5,94289,155,94211,4380503,46.46
Div6,b,1960,27,0.00180,0.00180,0.5,94134,170,94049,4286292,45.53
Div6,b,1960,28,0.00163,0.00162,0.5,93964,153,93888,4192243,44.62
Div6,b,1960,29,0.00180,0.00179,0.5,93812,168,93727,4098355,43.69
Div6,b,1960,30,0.00170,0.00170,0.5,93643,159,93564,4004627,42.76
Div6,b,1960,31,0.00181,0.00181,0.5,93485,169,93400,3911063,41.84
Div6,b,1960,32,0.00193,0.00193,0.5,93315,180,93225,3817664,40.91
Div6,b,1960,33,0.00220,0.00219,0.5,93136,204,93033,3724438,39.99
Div6,b,1960,34,0.00249,0.00248,0.5,92931,231,92816,3631405,39.08
Div6,b,1960,35,0.00233,0.00233,0.5,92700,216,92592,3538589,38.17
Div6,b,1960,36,0.00249,0.00249,0.5,92484,230,92369,3445997,37.26
Div6,b,1960,37,0.00290,0.00290,0.5,92254,267,92120,3353627,36.35
Div6,b,1960,38,0.00319,0.00319,0.5,91987,293,91840,3261507,35.46
Div6,b,1960,39,0.00350,0.00349,0.5,91694,320,91533,3169667,34.57
Div6,b,1960,40,0.00372,0.00371,0.5,91373,339,91204,3078133,33.69
Div6,b,1960,41,0.00396,0.00395,0.5,91034,360,90854,2986930,32.81
Div6,b,1960,42,0.00440,0.00439,0.5,90674,398,90476,2896075,31.94
Div6,b,1960,43,0.00466,0.00465,0.5,90277,419,90067,2805600,31.08
Div6,b,1960,44,0.00515,0.00513,0.5,89857,461,89627,2715533,30.22
Div6,b,1960,45,0.00557,0.00556,0.5,89396,497,89148,2625906,29.37
Div6,b,1960,46,0.00576,0.00575,0.5,88899,511,88644,2536758,28.54
Div6,b,1960,47,0.00623,0.00622,0.5,88389,549,88114,2448114,27.70
Div6,b,1960,48,0.00749,0.00746,0.5,87839,655,87512,2360000,26.87
Div6,b,1960,49,0.00770,0.00767,0.5,87184,669,86850,2272489,26.07
Div6,b,1960,50,0.00854,0.00851,0.5,86515,736,86147,2185639,25.26
Div6,b,1960,51,0.00901,0.00897,0.5,85779,769,85395,2099492,24.48
Div6,b,1960,52,0.01061,0.01055,0.5,85010,897,84561,2014097,23.69
Div6,b,1960,53,0.01025,0.01020,0.5,84113,858,83684,1929536,22.94
Div6,b,1960,54,0.01150,0.01144,0.5,83255,952,82779,1845852,22.17
Div6,b,1960,55,0.01265,0.01257,0.5,82303,1035,81785,1763073,21.42
Div6,b,1960,56,0.01297,0.01289,0.5,81268,1047,80745,1681287,20.69
Div6,b,1960,57,0.01431,0.01421,0.5,80221,1140,79651,1600543,19.95
Div6,b,1960,58,0.01488,0.01477,0.5,79081,1168,78497,1520892,19.23
Div6,b,1960,59,0.01754,0.01738,0.5,77913,1354,77236,1442395,18.51
Div6,b,1960,60,0.01912,0.01894,0.5,76559,1450,75834,1365159,17.83
Div6,b,1960,61,0.01789,0.01773,0.5,75108,1332,74443,1289325,17.17
Div6,b,1960,62,0.02109,0.02087,0.5,73777,1539,73007,1214883,16.47
Div6,b,1960,63,0.02388,0.02360,0.5,72237,1705,71385,1141876,15.81
Div6,b,1960,64,0.02411,0.02382,0.5,70532,1680,69692,1070491,15.18
Div6,b,1960,65,0.02917,0.02875,0.5,68852,1979,67863,1000799,14.54
Div6,b,1960,66,0.02667,0.02632,0.5,66873,1760,65993,932936,13.95
Div6,b,1960,67,0.03099,0.03051,0.5,65113,1987,64120,866943,13.31
Div6,b,1960,68,0.03312,0.03258,0.5,63126,2057,62098,802823,12.72
Div6,b,1960,69,0.03709,0.03641,0.5,61070,2224,59958,740725,12.13
Div6,b,1960,70,0.04366,0.04272,0.5,58846,2514,57589,680768,11.57
Div6,b,1960,71,0.03882,0.03808,0.5,56332,2145,55259,623179,11.06
Div6,b,1960,72,0.04930,0.04812,0.5,54187,2607,52883,567919,10.48
Div6,b,1960,73,0.04959,0.04839,0.5,51580,2496,50332,515036,9.99
Div6,b,1960,74,0.05427,0.05283,0.5,49084,2593,47787,464705,9.47
Div6,b,1960,75,0.06175,0.05990,0.5,46490,2785,45098,416917,8.97
Div6,b,1960,76,0.06330,0.06136,0.5,43706,2682,42365,371819,8.51
Div6,b,1960,77,0.07025,0.06786,0.5,41024,2784,39632,329455,8.03
Div6,b,1960,78,0.08116,0.07800,0.5,38240,2983,36749,289823,7.58
Div6,b,1960,79,0.08709,0.08345,0.5,35257,2942,33786,253074,7.18
Div6,b,1960,80,0.09870,0.09406,0.5,32315,3039,30795,219288,6.79
Div6,b,1960,81,0.09010,0.08621,0.5,29276,2524,28014,188493,6.44
Div6,b,1960,82,0.11299,0.10695,0.5,26752,2861,25321,160479,6.00
Div6,b,1960,83,0.12452,0.11722,0.5,23891,2800,22490,135158,5.66
Div6,b,1960,84,0.13657,0.12784,0.5,21090,2696,19742,112668,5.34
Div6,b,1960,85,0.15560,0.14437,0.5,18394,2656,17066,92926,5.05
Div6,b,1960,86,0.15719,0.14573,0.5,15738,2294,14592,75859,4.82
Div6,b,1960,87,0.16417,0.15171,0.5,13445,2040,12425,61268,4.56
Div6,b,1960,88,0.19022,0.17370,0.5,11405,1981,10415,48843,4.28
Div6,b,1960,89,0.19827,0.18039,0.5,9424,1700,8574,38428,4.08
Div6,b,1960,90,0.22861,0.20516,0.5,7724,1585,6932,29854,3.87
Div6,b,1960,91,0.20777,0.18822,0.5,6139,1156,5562,22923,3.73
Div6,b,1960,92,0.25064,0.22273,0.5,4984,1110,4429,17361,3.48
Div6,b,1960,93,0.27498,0.24174,0.5,3874,936,3406,12932,3.34
Div6,b,1960,94,0.25727,0.22795,0.5,2937,670,2603,9527,3.24
Div6,b,1960,95,0.28507,0.24950,0.5,2268,566,1985,6924,3.05
Div6,b,1960,96,0.30326,0.26333,0.5,1702,448,1478,4939,2.90
Div6,b,1960,97,0.32211,0.27743,0.5,1254,348,1080,3461,2.76
Div6,b,1960,98,0.34158,0.29175,0.5,906,264,774,2382,2.63
Div6,b,1960,99,0.36161,0.30624,0.5,642,196,543,1608,2.51
Div6,b,1960,100,0.38215,0.32084,0.5,445,143,374,1064,2.39
Div6,b,1960,101,0.40313,0.33551,0.5,302,101,252,691,2.28
Div6,b,1960,102,0.42450,0.35018,0.5,201,70,166,439,2.19
Div6,b,1960,103,0.44617,0.36479,0.5,131,48,107,273,2.09
Div6,b,1960,104,0.46807,0.37930,0.5,83,31,67,167,2.01
Div6,b,1960,105,0.49010,0.39364,0.5,51,20,41,99,1.93
Div6,b,1960,106,0.51219,0.40777,0.5,31,13,25,58,1.86
Div6,b,1960,107,0.53425,0.42163,0.5,18,8,15,33,1.80
Div6,b,1960,108,0.55620,0.43518,0.5,11,5,8,19,1.74
Div6,b,1960,109,0.57794,0.44837,0.5,6,3,5,10,1.70
Div6,b,1960,110+,0.59940,1.00000,1.67,3,3,6,6,1.67
Div6,b,1961,0,0.03210,0.03124,0.14,100000,3124,97305,6921589,69.22
Div6,b,1961,1,0.00216,0.00216,0.5,96876,209,96772,6824285,70.44
Div6,b,1961,2,0.00126,0.00126,0.5,96667,122,96607,6727513,69.59
Div6,b,1961,3,0.00096,0.00095,0.5,96546,92,96500,6630906,68.68
Div6,b,1961,4,0.00077,0.00077,0.5,96454,74,96417,6534406,67.75
Div6,b,1961,5,0.00061,0.00061,0.5,96380,59,96351,6437989,66.80
Div6,b,1961,6,0.00053,0.00053,0.5,96321,51,96296,6341639,65.84
Div6,b,1961,7,0.00055,0.00055,0.5,96270,53,96243,6245343,64.87
Div6,b,1961,8,0.00049,0.00049,0.5,96217,47,96193,6149100,63.91
Div6,b,1961,9,0.00040,0.00040,0.5,96170,39,96150,6052907,62.94
Div6,b,1961,10,0.00042,0.00042,0.5,96131,40,96111,5956756,61.97
Div6,b,1961,11,0.00045,0.00045,0.5,96090,44,96069,5860646,60.99
Div6,b,1961,12,0.00051,0.00051,0.5,96047,49,96022,5764577,60.02
Div6,b,1961,13,0.00050,0.00050,0.5,95998,48,95974,5668555,59.05
Div6,b,1961,14,0.00064,0.00064,0.5,95950,62,95919,5572581,58.08
Div6,b,1961,15,0.00063,0.00063,0.5,95888,60,95858,5476662,57.12
Div6,b,1961,16,0.00081,0.00081,0.5,95828,78,95789,5380804,56.15
Div6,b,1961,17,0.00106,0.00106,0.5,95750,101,95699,5285015,55.20
Div6,b,1961,18,0.00109,0.00109,0.5,95649,104,95596,5189316,54.25
Div6,b,1961,19,0.00123,0.00123,0.5,95544,117,95486,5093720,53.31
Div6,b,1961,20,0.00128,0.00128,0.5,95427,122,95366,4998234,52.38
Div6,b,1961,21,0.00157,0.00156,0.5,95304,149,95230,4902868,51.44
Div6,b,1961,22,0.00131,0.00131,0.5,95155,125,95093,4807638,50.52
Div6,b,1961,23,0.00155,0.00155,0.5,95031,147,94957,4712546,49.59
Div6,b,1961,24,0.00151,0.00150,0.5,94883,143,94812,4617589,48.67
Div6,b,1961,25,0.00151,0.00151,0.5,94740,143,94669,4522777,47.74
Div6,b,1961,26,0.00165,0.00165,0.5,94597,156,94519,4428108,46.81
Div6,b,1961,27,0.00167,0.00167,0.5,94441,158,94362,4333589,45.89
Div6,b,1961,28,0.00183,0.00183,0.5,94284,173,94197,4239226,44.96
Div6,b,1961,29,0.00170,0.00170,0.5,94111,160,94031,4145029,44.04
Div6,b,1961,30,0.00176,0.00176,0.5,93951,166,93868,4050998,43.12
Div6,b,1961,31,0.00185,0.00185,0.5,93785,173,93699,3957130,42.19
Div6,b,1961,32,0.00212,0.00212,0.5,93612,198,93513,3863431,41.27
Div6,b,1961,33,0.00215,0.00215,0.5,93414,201,93313,3769918,40.36
Div6,b,1961,34,0.00242,0.00241,0.5,93213,225,93101,3676605,39.44
Div6,b,1961,35,0.00245,0.00245,0.5,92988,228,92874,3583504,38.54
Div6,b,1961,36,0.00255,0.00255,0.5,92760,236,92642,3490630,37.63
Div6,b,1961,37,0.00271,0.00270,0.5,92524,250,92399,3397988,36.73
Div6,b,1961,38,0.00307,0.00307,0.5,92274,283,92132,3305589,35.82
Div6,b,1961,39,0.00320,0.00319,0.5,91991,294,91844,3213457,34.93
Div6,b,1961,40,0.00379,0.00378,0.5,91697,347,91523,3121614,34.04
Div6,b,1961,41,0.00386,0.00386,0.5,91350,352,91174,3030091,33.17
Div6,b,1961,42,0.00392,0.00391,0.5,90997,356,90820,2938917,32.30
Div6,b,1961,43,0.00456,0.00455,0.5,90642,412,90436,2848097,31.42
Div6,b,1961,44,0.00525,0.00524,0.5,90230,473,89993,2757662,30.56
Div6,b,1961,45,0.00528,0.00527,0.5,89757,473,89521,2667668,29.72
Div6,b,1961,46,0.00590,0.00588,0.5,89284,525,89022,2578148,28.88
Div6,b,1961,47,0.00644,0.00642,0.5,88759,570,88474,2489126,28.04
Div6,b,1961,48,0.00675,0.00673,0.5,88189,593,87892,2400652,27.22
Div6,b,1961,49,0.00744,0.00741,0.5,87596,649,87271,2312759,26.40
Div6,b,1961,50,0.00786,0.00783,0.5,86947,681,86606,2225488,25.60
Div6,b,1961,51,0.00897,0.00893,0.5,86266,770,85881,2138881,24.79
Div6,b,1961,52,0.00965,0.00960,0.5,85496,821,85085,2053000,24.01
Div6,b,1961,53,0.01048,0.01042,0.5,84675,883,84233,1967915,23.24
Div6,b,1961,54,0.01102,0.01096,0.5,83792,919,83333,1883682,22.48
Div6,b,1961,55,0.01203,0.01196,0.5,82873,991,82378,1800349,21.72
Div6,b,1961,56,0.01326,0.01318,0.5,81883,1079,81343,1717971,20.98
Div6,b,1961,57,0.01340,0.01331,0.5,80804,1076,80266,1636628,20.25
Div6,b,1961,58,0.01489,0.01478,0.5,79728,1179,79139,1556363,19.52
Div6,b,1961,59,0.01562,0.01550,0.5,78549,1218,77941,1477224,18.81
Div6,b,1961,60,0.01842,0.01826,0.5,77332,1412,76626,1399283,18.09
Div6,b,1961,61,0.01946,0.01927,0.5,75920,1463,75188,1322658,17.42
Div6,b,1961,62,0.02028,0.02008,0.5,74457,1495,73709,1247469,16.75
Div6,b,1961,63,0.02296,0.02270,0.5,72962,1656,72134,1173760,16.09
Div6,b,1961,64,0.02507,0.02476,0.5,71306,1766,70423,1101626,15.45
Div6,b,1961,65,0.02872,0.02831,0.5,69540,1969,68556,1031203,14.83
Div6,b,1961,66,0.02562,0.02529,0.5,67571,1709,66717,962648,14.25
Div6,b,1961,67,0.03022,0.02977,0.5,65862,1960,64882,895931,13.60
Div6,b,1961,68,0.03293,0.03240,0.5,63902,2070,62867,831049,13.01
Div6,b,1961,69,0.03449,0.03390,0.5,61831,2096,60783,768182,12.42
Div6,b,1961,70,0.03953,0.03876,0.5,59735,2315,58577,707399,11.84
Div6,b,1961,71,0.03991,0.03913,0.5,57420,2247,56296,648822,11.30
Div6,b,1961,72,0.04588,0.04485,0.5,55173,2474,53936,592525,10.74
Div6,b,1961,73,0.04864,0.04748,0.5,52699,2502,51447,538589,10.22
Div6,b,1961,74,0.05103,0.04976,0.5,50196,2498,48947,487142,9.70
Div6,b,1961,75,0.05827,0.05662,0.5,47699,2701,46348,438195,9.19
Div6,b,1961,76,0.06100,0.05919,0.5,44998,2664,43666,391846,8.71
Div6,b,1961,77,0.06438,0.06237,0.5,42334,2641,41014,348180,8.22
Div6,b,1961,78,0.07606,0.07328,0.5,39694,2909,38239,307166,7.74
Div6,b,1961,79,0.08340,0.08006,0.5,36785,2945,35313,268927,7.31
Div6,b,1961,80,0.09343,0.08926,0.5,33840,3021,32330,233614,6.90
Div6,b,1961,81,0.09550,0.09115,0.5,30820,2809,29415,201285,6.53
Div6,b,1961,82,0.10785,0.10233,0.5,28010,2866,26577,171870,6.14
Div6,b,1961,83,0.12857,0.12080,0.5,25144,3037,23625,145292,5.78
Div6,b,1961,84,0.13192,0.12376,0.5,22107,2736,20739,121667,5.50
Div6,b,1961,85,0.14150,0.13215,0.5,19371,2560,18091,100928,5.21
Div6,b,1961,86,0.16058,0.14864,0.5,16811,2499,15561,82837,4.93
Div6,b,1961,87,0.15874,0.14707,0.5,14312,2105,13260,67276,4.70
Div6,b,1961,88,0.19152,0.17478,0.5,12207,2134,11140,54016,4.42
Div6,b,1961,89,0.18886,0.17256,0.5,10074,1738,9204,42876,4.26
Div6,b,1961,90,0.21611,0.19504,0.5,8335,1626,7522,33671,4.04
Div6,b,1961,91,0.21914,0.19750,0.5,6710,1325,6047,26149,3.90
Div6,b,1961,92,0.21688,0.19566,0.5,5384,1054,4858,20102,3.73
Div6,b,1961,93,0.23640,0.21141,0.5,4331,916,3873,15244,3.52
Div6,b,1961,94,0.25101,0.22302,0.5,3415,762,3034,11371,3.33
Div6,b,1961,95,0.27600,0.24253,0.5,2654,644,2332,8337,3.14
Div6,b,1961,96,0.29348,0.25593,0.5,2010,514,1753,6005,2.99
Div6,b,1961,97,0.31161,0.26960,0.5,1496,403,1294,4252,2.84
Div6,b,1961,98,0.33036,0.28352,0.5,1092,310,938,2958,2.71
Div6,b,1961,99,0.34968,0.29764,0.5,783,233,666,2021,2.58
Div6,b,1961,100,0.36952,0.31190,0.5,550,171,464,1355,2.46
Div6,b,1961,101,0.38984,0.32625,0.5,378,123,317,891,2.35
Div6,b,1961,102,0.41057,0.34064,0.5,255,87,211,574,2.25
Div6,b,1961,103,0.43164,0.35502,0.5,168,60,138,363,2.16
Div6,b,1961,104,0.45298,0.36933,0.5,108,40,88,224,2.07
Div6,b,1961,105,0.47451,0.38352,0.5,68,26,55,136,1.99
Div6,b,1961,106,0.49615,0.39753,0.5,42,17,34,81,1.92
Div6,b,1961,107,0.51783,0.41133,0.5,25,10,20,47,1.85
Div6,b,1961,108,0.53946,0.42486,0.5,15,6,12,27,1.79
Div6,b,1961,109,0.56095,0.43808,0.5,9,4,7,15,1.75
Div6,b,1961,110+,0.58223,1.00000,1.72,5,5,8,8,1.72
Div6,b,1962,0,0.03172,0.03088,0.14,100000,3088,97332,6891347,68.91
Div6,b,1962,1,0.00211,0.00211,0.5,96912,204,96810,6794015,70.10
Div6,b,1962,2,0.00138,0.00138,0.5,96708,134,96641,6697205,69.25
Div6,b,1962,3,0.00093,0.00093,0.5,96575,90,96530,6600563,68.35
Div6,b,1962,4,0.00065,0.00065,0.5,96485,62,96454,6504034,67.41
Div6,b,1962,5,0.00064,0.00064,0.5,96422,62,96392,6407580,66.45
Div6,b,1962,6,0.00052,0.00052,0.5,96361,50,96335,6311188,65.50
Div6,b,1962,7,0.00045,0.00045,0.5,96310,43,96289,6214853,64.53
Div6,b,1962,8,0.00047,0.00047,0.5,96267,45,96245,6118564,63.56
Div6,b,1962,9,0.00040,0.00040,0.5,96222,39,96203,6022319,62.59
