PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg2,b,1960-1969,0,0.02266,0.02222,0.11,100000,2222,98026,7071194,70.71
Reg2,b,1960-1969,1,0.00136,0.00136,0.5,97778,133,97712,6973169,71.32
Reg2,b,1960-1969,2,0.00087,0.00087,0.5,97645,85,97603,6875457,70.41
Reg2,b,1960-1969,3,0.00067,0.00067,0.5,97561,66,97528,6777854,69.47
Reg2,b,1960-1969,4,0.00058,0.00058,0.5,97495,56,97467,6680326,68.52
Reg2,b,1960-1969,5,0.00052,0.00052,0.5,97439,51,97413,6582859,67.56
Reg2,b,1960-1969,6,0.00046,0.00046,0.5,97388,45,97366,6485446,66.59
Reg2,b,1960-1969,7,0.00041,0.00041,0.5,97344,40,97324,6388080,65.62
Reg2,b,1960-1969,8,0.00038,0.00038,0.5,97303,37,97285,6290756,64.65
Reg2,b,1960-1969,9,0.00036,0.00036,0.5,97267,35,97249,6193471,63.68
Reg2,b,1960-1969,10,0.00035,0.00035,0.5,97232,34,97215,6096222,62.70
Reg2,b,1960-1969,11,0.00036,0.00036,0.5,97198,35,97181,5999007,61.72
Reg2,b,1960-1969,12,0.00039,0.00039,0.5,97164,37,97145,5901826,60.74
Reg2,b,1960-1969,13,0.00043,0.00043,0.5,97126,42,97105,5804681,59.76
Reg2,b,1960-1969,14,0.00051,0.00051,0.5,97085,50,97060,5707575,58.79
Reg2,b,1960-1969,15,0.00063,0.00063,0.5,97035,61,97004,5610516,57.82
Reg2,b,1960-1969,16,0.00084,0.00084,0.5,96973,82,96933,5513512,56.86
Reg2,b,1960-1969,17,0.00102,0.00102,0.5,96892,99,96842,5416579,55.90
Reg2,b,1960-1969,18,0.00122,0.00122,0.5,96793,118,96734,5319737,54.96
Reg2,b,1960-1969,19,0.00124,0.00124,0.5,96675,120,96615,5223003,54.03
Reg2,b,1960-1969,20,0.00122,0.00122,0.5,96555,118,96496,5126388,53.09
Reg2,b,1960-1969,21,0.00130,0.00130,0.5,96437,125,96375,5029892,52.16
Reg2,b,1960-1969,22,0.00126,0.00126,0.5,96312,121,96252,4933517,51.22
Reg2,b,1960-1969,23,0.00123,0.00123,0.5,96191,118,96132,4837265,50.29
Reg2,b,1960-1969,24,0.00122,0.00122,0.5,96073,117,96015,4741133,49.35
Reg2,b,1960-1969,25,0.00122,0.00122,0.5,95956,117,95898,4645118,48.41
Reg2,b,1960-1969,26,0.00120,0.00120,0.5,95839,115,95781,4549221,47.47
Reg2,b,1960-1969,27,0.00121,0.00121,0.5,95724,116,95666,4453439,46.52
Reg2,b,1960-1969,28,0.00123,0.00123,0.5,95608,118,95549,4357773,45.58
Reg2,b,1960-1969,29,0.00129,0.00129,0.5,95491,123,95429,4262224,44.63
Reg2,b,1960-1969,30,0.00135,0.00135,0.5,95368,129,95303,4166795,43.69
Reg2,b,1960-1969,31,0.00139,0.00139,0.5,95239,133,95173,4071491,42.75
Reg2,b,1960-1969,32,0.00150,0.00150,0.5,95107,142,95035,3976319,41.81
Reg2,b,1960-1969,33,0.00157,0.00157,0.5,94964,149,94890,3881283,40.87
Reg2,b,1960-1969,34,0.00171,0.00170,0.5,94815,162,94734,3786394,39.93
Reg2,b,1960-1969,35,0.00185,0.00185,0.5,94653,175,94566,3691660,39.00
Reg2,b,1960-1969,36,0.00198,0.00197,0.5,94479,187,94385,3597094,38.07
Reg2,b,1960-1969,37,0.00216,0.00216,0.5,94292,203,94190,3502708,37.15
Reg2,b,1960-1969,38,0.00237,0.00237,0.5,94089,223,93977,3408518,36.23
Reg2,b,1960-1969,39,0.00260,0.00260,0.5,93866,244,93744,3314541,35.31
Reg2,b,1960-1969,40,0.00283,0.00283,0.5,93622,265,93490,3220797,34.40
Reg2,b,1960-1969,41,0.00306,0.00306,0.5,93357,285,93215,3127307,33.50
Reg2,b,1960-1969,42,0.00342,0.00341,0.5,93072,317,92914,3034092,32.60
Reg2,b,1960-1969,43,0.00372,0.00372,0.5,92755,345,92583,2941178,31.71
Reg2,b,1960-1969,44,0.00405,0.00404,0.5,92410,373,92224,2848596,30.83
Reg2,b,1960-1969,45,0.00453,0.00452,0.5,92037,416,91829,2756372,29.95
Reg2,b,1960-1969,46,0.00485,0.00484,0.5,91621,443,91399,2664543,29.08
Reg2,b,1960-1969,47,0.00541,0.00539,0.5,91178,492,90932,2573144,28.22
Reg2,b,1960-1969,48,0.00588,0.00586,0.5,90686,531,90420,2482212,27.37
Reg2,b,1960-1969,49,0.00648,0.00646,0.5,90155,582,89863,2391791,26.53
Reg2,b,1960-1969,50,0.00724,0.00721,0.5,89572,646,89249,2301928,25.70
Reg2,b,1960-1969,51,0.00785,0.00782,0.5,88926,696,88578,2212679,24.88
Reg2,b,1960-1969,52,0.00874,0.00870,0.5,88230,767,87847,2124101,24.07
Reg2,b,1960-1969,53,0.00935,0.00930,0.5,87463,814,87056,2036254,23.28
Reg2,b,1960-1969,54,0.01034,0.01028,0.5,86649,891,86204,1949198,22.50
Reg2,b,1960-1969,55,0.01106,0.01100,0.5,85758,943,85287,1862994,21.72
Reg2,b,1960-1969,56,0.01203,0.01196,0.5,84815,1014,84308,1777707,20.96
Reg2,b,1960-1969,57,0.01323,0.01314,0.5,83801,1101,83251,1693399,20.21
Reg2,b,1960-1969,58,0.01434,0.01424,0.5,82700,1177,82111,1610149,19.47
