PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,m,1960-1969,0,0.02760,0.02694,0.12,100000,2694,97627,6677841,66.78
USA,m,1960-1969,1,0.00165,0.00165,0.5,97306,161,97225,6580214,67.62
USA,m,1960-1969,2,0.00106,0.00106,0.5,97145,103,97094,6482989,66.74
USA,m,1960-1969,3,0.00082,0.00082,0.5,97042,80,97003,6385895,65.81
USA,m,1960-1969,4,0.00069,0.00069,0.5,96963,67,96929,6288892,64.86
USA,m,1960-1969,5,0.00061,0.00061,0.5,96896,59,96866,6191963,63.90
USA,m,1960-1969,6,0.00056,0.00056,0.5,96837,54,96810,6095097,62.94
USA,m,1960-1969,7,0.00050,0.00050,0.5,96783,49,96759,5998287,61.98
USA,m,1960-1969,8,0.00046,0.00046,0.5,96734,45,96712,5901528,61.01
USA,m,1960-1969,9,0.00044,0.00044,0.5,96689,43,96668,5804816,60.04
USA,m,1960-1969,10,0.00043,0.00043,0.5,96646,42,96626,5708149,59.06
USA,m,1960-1969,11,0.00045,0.00045,0.5,96605,43,96583,5611523,58.09
USA,m,1960-1969,12,0.00048,0.00048,0.5,96562,47,96538,5514940,57.11
USA,m,1960-1969,13,0.00057,0.00057,0.5,96515,55,96487,5418401,56.14
USA,m,1960-1969,14,0.00070,0.00070,0.5,96460,67,96426,5321914,55.17
USA,m,1960-1969,15,0.00087,0.00087,0.5,96392,84,96351,5225488,54.21
USA,m,1960-1969,16,0.00118,0.00118,0.5,96309,114,96252,5129137,53.26
USA,m,1960-1969,17,0.00146,0.00145,0.5,96195,140,96125,5032885,52.32
USA,m,1960-1969,18,0.00176,0.00176,0.5,96055,169,95970,4936761,51.40
USA,m,1960-1969,19,0.00186,0.00186,0.5,95886,178,95797,4840791,50.48
USA,m,1960-1969,20,0.00185,0.00185,0.5,95708,177,95619,4744994,49.58
USA,m,1960-1969,21,0.00197,0.00197,0.5,95531,188,95437,4649374,48.67
USA,m,1960-1969,22,0.00197,0.00197,0.5,95342,187,95249,4553938,47.76
USA,m,1960-1969,23,0.00190,0.00190,0.5,95155,181,95065,4458689,46.86
USA,m,1960-1969,24,0.00183,0.00183,0.5,94974,173,94888,4363625,45.95
USA,m,1960-1969,25,0.00184,0.00184,0.5,94801,175,94714,4268737,45.03
USA,m,1960-1969,26,0.00183,0.00183,0.5,94626,173,94540,4174023,44.11
USA,m,1960-1969,27,0.00183,0.00183,0.5,94454,173,94367,4079483,43.19
USA,m,1960-1969,28,0.00187,0.00187,0.5,94281,176,94193,3985116,42.27
USA,m,1960-1969,29,0.00188,0.00187,0.5,94105,176,94017,3890923,41.35
USA,m,1960-1969,30,0.00195,0.00195,0.5,93928,183,93837,3796907,40.42
USA,m,1960-1969,31,0.00199,0.00199,0.5,93745,187,93652,3703070,39.50
USA,m,1960-1969,32,0.00210,0.00210,0.5,93558,196,93460,3609418,38.58
USA,m,1960-1969,33,0.00223,0.00223,0.5,93362,208,93258,3515958,37.66
USA,m,1960-1969,34,0.00236,0.00236,0.5,93154,219,93044,3422700,36.74
USA,m,1960-1969,35,0.00256,0.00256,0.5,92935,238,92816,3329655,35.83
USA,m,1960-1969,36,0.00272,0.00272,0.5,92697,252,92571,3236840,34.92
USA,m,1960-1969,37,0.00296,0.00295,0.5,92445,273,92308,3144269,34.01
USA,m,1960-1969,38,0.00327,0.00327,0.5,92172,301,92021,3051961,33.11
USA,m,1960-1969,39,0.00354,0.00353,0.5,91871,325,91708,2959939,32.22
USA,m,1960-1969,40,0.00390,0.00390,0.5,91546,357,91368,2868231,31.33
USA,m,1960-1969,41,0.00419,0.00418,0.5,91189,381,90999,2776863,30.45
USA,m,1960-1969,42,0.00473,0.00472,0.5,90808,429,90594,2685864,29.58
USA,m,1960-1969,43,0.00510,0.00508,0.5,90380,459,90150,2595270,28.72
USA,m,1960-1969,44,0.00560,0.00559,0.5,89920,502,89669,2505121,27.86
USA,m,1960-1969,45,0.00622,0.00621,0.5,89418,555,89140,2415452,27.01
USA,m,1960-1969,46,0.00670,0.00668,0.5,88863,594,88566,2326312,26.18
USA,m,1960-1969,47,0.00749,0.00746,0.5,88269,658,87940,2237746,25.35
USA,m,1960-1969,48,0.00818,0.00815,0.5,87611,714,87254,2149806,24.54
USA,m,1960-1969,49,0.00902,0.00898,0.5,86897,781,86507,2062552,23.74
